tenure_days,team_size,monthly_spend_usd,logins_per_month,features_used,support_tickets_last_90d,days_since_last_login,nps_score,churned,nps_missing,tenure_months,is_annual_contract,engagement_score,spend_per_feature,tickets_per_month,login_bucket,recency_ratio,plan_rank,acquisition_channel_email,acquisition_channel_organic,acquisition_channel_paid search,acquisition_channel_referral,acquisition_channel_social,industry_education,industry_finance,industry_healthcare,industry_other,industry_retail,industry_saas,industry_unknown,support_tier_dedicated,support_tier_email,support_tier_priority,nps_bucket_detractor,nps_bucket_passive,nps_bucket_promoter
915,500.0,0.0,2,7,0,0,8.0,0,0,30.5,1,29.83,0.0,0.0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
73,5.0,31.37,10,3,1,4,8.0,0,0,2.4,0,37.17,7.84,0.333,2,0.0541,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
393,10.0,90.39,14,10,0,12,6.0,0,0,13.1,1,50.33,8.22,0.0,2,0.0305,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
587,500.0,94.78,16,3,2,8,7.0,0,0,19.6,1,45.17,23.7,0.667,2,0.0136,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1234,500.0,107.69,12,14,0,9,7.0,0,0,41.1,0,55.0,7.18,0.0,2,0.0073,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1234,5.0,120.18,4,3,0,19,10.0,0,0,41.1,0,31.17,30.04,0.0,1,0.0154,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1377,10.0,89.58,11,1,2,2,7.0,0,0,45.9,1,33.83,44.79,0.667,2,0.0015,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
197,5.0,100.48,11,1,1,48,7.0,0,0,6.6,1,33.83,50.24,0.333,2,0.2424,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
584,10.0,0.0,2,19,0,6,7.0,0,0,19.5,1,45.83,0.0,0.0,0,0.0103,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
428,100.0,31.48,3,4,2,35,9.0,0,0,14.3,1,29.0,6.3,0.667,1,0.0816,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1431,2.0,0.0,12,2,0,5,9.0,0,0,47.7,1,41.0,0.0,0.0,2,0.0035,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
45,25.0,379.6,5,11,0,11,9.0,0,0,1.5,1,42.83,31.63,0.0,1,0.2391,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
246,10.0,418.89,14,12,1,7,9.0,0,0,8.2,1,59.33,32.22,0.333,2,0.0283,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1151,2.0,0.0,4,13,1,13,6.0,1,0,38.4,1,38.17,0.0,0.333,1,0.0113,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1196,25.0,93.24,4,16,0,2,7.0,0,0,39.9,1,44.67,5.48,0.0,1,0.0017,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1194,5.0,540.46,3,16,1,6,8.0,0,0,39.8,1,45.0,31.79,0.333,1,0.005,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1017,1.0,0.0,2,19,3,0,5.0,0,0,33.9,1,41.83,0.0,1.0,0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
695,500.0,29.49,14,9,1,10,7.0,0,0,23.2,0,50.83,2.95,0.333,2,0.0144,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
831,5.0,570.54,8,16,2,39,9.0,0,0,27.7,0,55.33,33.56,0.667,1,0.0469,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1036,5.0,0.0,5,7,1,0,8.0,0,0,34.5,1,34.83,0.0,0.333,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
568,25.0,119.86,5,13,5,12,10.0,0,0,18.9,1,47.83,8.56,1.667,1,0.0211,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1258,100.0,26.97,13,4,0,17,7.0,0,0,41.9,0,41.67,5.39,0.0,2,0.0135,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1035,50.0,343.67,11,13,1,2,5.0,0,0,34.5,1,47.83,24.55,0.333,2,0.0019,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
927,5.0,308.21,4,8,1,3,9.0,0,0,30.9,1,36.67,34.25,0.333,1,0.0032,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
796,5.0,526.69,11,2,1,2,2.0,0,0,26.5,1,25.33,175.56,0.333,2,0.0025,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
315,2.0,35.4,8,7,1,4,8.0,0,0,10.5,1,39.83,4.42,0.333,1,0.0127,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1170,5.0,91.22,8,11,0,1,4.0,0,0,39.0,1,37.83,7.6,0.0,1,0.0009,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
711,100.0,111.8,13,17,3,5,5.0,0,0,23.7,0,57.17,6.21,1.0,2,0.007,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
597,5.0,22.65,6,14,0,5,7.0,0,0,19.9,1,45.0,1.51,0.0,1,0.0084,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1394,5.0,106.75,3,13,0,19,5.0,0,0,46.5,1,34.5,7.62,0.0,1,0.0136,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
574,1.0,0.0,5,15,0,19,8.0,0,0,19.1,1,46.83,0.0,0.0,1,0.033,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1213,50.0,30.92,7,9,0,19,4.0,1,0,40.4,1,33.17,3.09,0.0,1,0.0157,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1367,25.0,0.0,6,3,0,10,7.0,1,0,45.6,0,28.5,0.0,0.0,1,0.0073,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
76,5.0,0.0,6,13,5,4,6.0,0,0,2.5,1,41.5,0.0,1.667,1,0.0519,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
52,10.0,0.0,7,13,0,6,7.0,0,0,1.7,1,45.17,0.0,0.0,1,0.1132,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
281,5.0,97.8,12,9,0,4,5.0,0,0,9.4,1,43.5,9.78,0.0,2,0.0142,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1017,25.0,34.15,9,18,4,10,5.0,1,0,33.9,0,52.0,1.8,1.333,2,0.0098,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1319,10.0,74.65,4,5,1,33,8.0,0,0,44.0,1,30.17,12.44,0.333,1,0.025,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
463,10.0,0.0,6,11,3,4,2.0,0,0,15.4,0,30.5,0.0,1.0,1,0.0086,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
819,5.0,24.13,10,2,0,7,6.0,0,0,27.3,1,31.67,8.04,0.0,2,0.0085,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1283,5.0,32.23,5,17,2,12,10.0,0,0,42.8,1,53.83,1.79,0.667,1,0.0093,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
739,2.0,86.46,5,4,0,22,6.0,0,0,24.6,1,26.33,17.29,0.0,1,0.0297,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1411,100.0,17.4,8,18,2,3,7.0,1,0,47.0,1,54.33,0.92,0.667,1,0.0021,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
134,100.0,79.46,16,8,1,3,8.0,0,0,4.5,1,54.67,8.83,0.333,2,0.0222,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1084,25.0,105.78,15,19,0,25,8.0,0,0,36.1,0,69.5,5.29,0.0,2,0.023,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
494,100.0,93.66,8,12,0,1,8.0,0,0,16.5,0,47.33,7.2,0.0,1,0.002,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1006,10.0,0.0,8,11,3,11,10.0,0,0,33.5,1,49.83,0.0,1.0,1,0.0109,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
702,2.0,0.0,2,16,2,23,1.0,1,0,23.4,0,29.33,0.0,0.667,0,0.0327,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
663,25.0,80.51,2,5,1,30,10.0,0,0,22.1,0,30.83,13.42,0.333,0,0.0452,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1192,2.0,0.0,9,3,3,0,10.0,0,0,39.7,0,39.5,0.0,1.0,2,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
46,5.0,105.86,14,12,1,5,9.0,0,0,1.5,0,59.33,8.14,0.333,2,0.1064,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
330,2.0,24.11,8,15,2,3,7.0,0,0,11.0,1,49.83,1.51,0.667,1,0.0091,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
90,5.0,553.76,6,16,3,10,9.0,0,0,3.0,1,52.0,32.57,1.0,1,0.1099,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
155,10.0,107.87,8,13,1,12,4.0,0,0,5.2,1,40.83,7.7,0.333,1,0.0769,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
589,1.0,577.11,6,7,2,100,9.0,0,0,19.6,1,38.5,72.14,0.667,1,0.1695,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
116,1.0,25.75,10,15,1,8,4.0,0,0,3.9,0,47.17,1.61,0.333,2,0.0684,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1332,10.0,72.79,2,3,4,9,9.0,0,0,44.4,1,25.83,18.2,1.333,0,0.0068,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1175,25.0,28.15,11,12,3,6,8.0,0,0,39.2,1,52.33,2.17,1.0,2,0.0051,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1395,10.0,27.67,9,8,0,1,2.0,0,0,46.5,1,31.0,3.07,0.0,2,0.0007,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
987,1.0,61.4,2,12,0,4,9.0,0,0,32.9,1,39.33,4.72,0.0,0,0.004,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
894,5.0,103.46,2,18,1,3,7.0,0,0,29.8,0,44.33,5.45,0.333,0,0.0034,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1065,25.0,450.42,10,3,2,19,8.0,0,0,35.5,1,37.17,112.6,0.667,2,0.0178,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
252,10.0,94.73,10,12,2,9,5.0,0,0,8.4,1,44.67,7.29,0.667,2,0.0356,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
941,1.0,22.68,5,2,0,4,9.0,0,0,31.4,1,29.33,7.56,0.0,1,0.0042,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1051,100.0,31.43,5,14,1,8,7.0,0,0,35.0,0,43.33,2.1,0.333,1,0.0076,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
669,2.0,95.13,4,14,0,2,6.0,0,0,22.3,1,39.67,6.34,0.0,1,0.003,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1256,2.0,0.0,7,4,3,2,7.0,0,0,41.9,0,31.67,0.0,1.0,1,0.0016,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
290,5.0,0.0,7,17,2,23,8.0,0,0,9.7,0,53.17,0.0,0.667,1,0.079,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1353,2.0,31.54,12,15,1,34,8.0,1,0,45.1,0,58.5,1.97,0.333,2,0.0251,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
21,500.0,28.71,10,16,1,1,6.0,0,0,0.7,0,52.67,1.69,0.333,2,0.0455,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
334,1.0,22.02,11,5,0,17,6.0,0,0,11.1,1,37.83,3.67,0.0,2,0.0507,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1171,2.0,0.0,4,17,1,7,7.0,0,0,39.0,0,46.17,0.0,0.333,1,0.006,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1453,5.0,0.0,6,7,0,5,10.0,1,0,48.4,0,40.5,0.0,0.0,1,0.0034,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
271,5.0,0.0,4,15,0,14,7.0,0,0,9.0,0,43.17,0.0,0.0,1,0.0515,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
429,1.0,426.17,14,17,0,3,6.0,0,0,14.3,0,60.83,23.68,0.0,2,0.007,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
397,1.0,32.26,2,12,2,0,7.0,0,0,13.2,1,35.33,2.48,0.667,0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
335,2.0,36.14,9,11,2,2,7.0,1,0,11.2,0,45.5,3.01,0.667,2,0.006,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1353,10.0,95.54,15,19,0,2,9.0,0,0,45.1,0,71.5,4.78,0.0,2,0.0015,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
938,5.0,0.0,8,11,1,0,0.0,0,0,31.3,1,29.83,0.0,0.333,1,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1292,10.0,384.3,10,2,0,4,7.0,0,0,43.1,0,33.67,128.1,0.0,2,0.0031,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
201,10.0,102.28,4,15,2,7,5.0,1,0,6.7,0,39.17,6.39,0.667,1,0.0347,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
551,5.0,0.0,5,5,2,15,4.0,0,0,18.4,1,23.83,0.0,0.667,1,0.0272,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
978,50.0,30.54,3,18,0,4,7.0,0,0,32.6,1,46.0,1.61,0.0,1,0.0041,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1369,5.0,109.26,5,16,3,2,9.0,0,0,45.6,1,50.33,6.43,1.0,1,0.0015,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1007,2.0,341.84,10,4,0,3,10.0,0,0,33.6,1,42.67,68.37,0.0,2,0.003,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
987,10.0,24.63,4,10,0,26,1.0,0,0,32.9,1,23.67,2.24,0.0,1,0.0263,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
396,10.0,80.25,10,2,1,2,7.0,0,0,13.2,0,33.67,26.75,0.333,2,0.005,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
531,5.0,0.0,16,15,1,25,3.0,0,0,17.7,1,55.17,0.0,0.333,2,0.047,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
166,1.0,658.36,9,4,0,7,8.0,0,0,5.5,1,37.0,131.67,0.0,2,0.0419,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
772,1.0,0.0,5,16,0,32,8.0,0,0,25.7,1,48.33,0.0,0.0,1,0.0414,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1287,25.0,429.57,3,7,1,6,7.0,0,0,42.9,1,29.5,53.7,0.333,1,0.0047,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
420,1.0,116.95,19,12,0,2,2.0,0,0,14.0,1,53.67,9.0,0.0,2,0.0048,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
351,10.0,90.05,7,3,0,9,9.0,0,0,11.7,1,34.17,22.51,0.0,1,0.0256,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
642,1.0,30.21,4,17,2,10,8.0,0,0,21.4,1,48.17,1.68,0.667,1,0.0156,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
336,5.0,0.0,13,9,3,12,0.0,1,0,11.2,1,35.17,0.0,1.0,2,0.0356,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
741,2.0,0.0,12,8,1,6,8.0,0,0,24.7,1,48.0,0.0,0.333,2,0.0081,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
698,1.0,0.0,5,6,3,0,7.0,0,0,23.3,1,31.33,0.0,1.0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
837,5.0,0.0,2,15,3,11,7.0,0,0,27.9,0,39.83,0.0,1.0,0,0.0131,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1424,10.0,95.45,9,10,0,32,6.0,0,0,47.5,0,42.0,8.68,0.0,2,0.0225,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1304,5.0,23.07,14,6,3,37,7.0,0,0,43.5,0,46.33,3.3,1.0,2,0.0284,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1416,25.0,0.0,4,15,0,10,8.0,1,0,47.2,0,45.17,0.0,0.0,1,0.0071,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
532,1.0,507.73,8,14,1,0,7.0,0,0,17.7,0,48.33,33.85,0.333,1,0.0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1003,50.0,101.76,6,19,2,1,10.0,0,0,33.4,1,58.5,5.09,0.667,1,0.001,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
719,500.0,404.87,10,13,0,21,4.0,0,0,24.0,1,44.17,28.92,0.0,2,0.0292,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
136,1.0,573.25,2,14,0,21,8.0,0,0,4.5,0,40.33,38.22,0.0,0,0.1533,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1098,100.0,0.0,4,3,0,35,4.0,1,0,36.6,1,19.17,0.0,0.0,1,0.0318,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
